label_raw,text,label_ocean,key
Gregariousness,Act wild and crazy,E,1
Anxiety,Are afraid that you will do the wrong thing,N,1
Emotionality,Are annoyed by others' mistakes,O,1
Anxiety,Are easily hurt,N,1
Emotionality,Are easily put out,O,1
Orderliness,Are exacting in your work,C,1
Assertiveness,Are not afraid of providing criticism,E,1
Orderliness,Are not bothered by disorder,C,-1
Orderliness,Are not bothered by messy people,C,-1
Emotionality,Are not easily annoyed,O,-1
Anxiety,Are not easily bothered by things,N,-1
Emotionality,Are quick to judge others,O,1
Friendliness,Are quiet around strangers,E,-1
Gregariousness,Are the last to laugh at a joke,E,-1
Gregariousness,Are the life of the party,E,1
Gregariousness,Areuse your friends,E,1
Dutifulness,Believe in one true religion,C,1
Dutifulness,Believe laws should be strictly enforced,C,1
Dutifulness,Break rules,C,-1
Assertiveness,Can take strong measures,E,1
Emotionality,Can't stand being contradicted,O,1
Intellect,Consider yourself an average person,O,-1
Orderliness,Continue until everything is perfect,C,1
Intellect,Counter others' arguments,O,1
Gregariousness,Dislike loud music,E,-1
Imagination,Do things by the book,O,-1
Imagination,Do things that others find strange,O,1
Imagination,Do unexpected things,O,1
Anxiety,Don't let others discourage me,N,-1
Gregariousness,Don't like crowded events,E,-1
Friendliness,Don't mind being the center of attention,E,1
Anxiety,Don't worry about things that have already happened,N,-1
Gregariousness,Enjoy being part of a loud crowd,E,1
Imagination,Enjoy wild flights of fantasy,O,1
Friendliness,Feel comfortable around people,E,1
Anxiety,Feel crushed by setbacks,N,1
Anxiety,"Feel guilty when you say ""no.""",N,1
Anxiety,Feel threatened easily,N,1
Friendliness,Find it difficult to approach others,E,-1
Emotionality,Get angry easily,O,1
Orderliness,Get chores done right away,C,1
Intellect,Get confused easily,O,-1
Emotionality,Get irritated easily,O,1
Emotionality,Have a good word for everyone,O,-1
Intellect,Have a poor vocabulary,O,-1
Friendliness,Have little to say,E,-1
Gregariousness,Joke around a lot,E,1
Emotionality,Judge people by their appearance,O,1
Friendliness,Keep in the background,E,-1
Dutifulness,Know how to get around the rules,C,-1
Intellect,Know that you are not a special person,O,-1
Intellect,Know the answers to many questions,O,1
Intellect,Learn quickly,O,1
Orderliness,Leave a mess in your room,C,-1
Orderliness,Leave your belongings around,C,-1
Assertiveness,Let yourself be pushed around,E,-1
Assertiveness,Let others make the decisions,E,-1
Orderliness,Like order,C,1
Imagination,Like to get lost in thought,O,1
Dutifulness,Like to stand during the national anthem,C,1
Gregariousness,Love large parties,E,1
Imagination,Love to daydream,O,1
Friendliness,Make friends easily,E,1
Intellect,Make insightful remarks,O,1
Assertiveness,Never challenge things,E,-1
